guid,scientific_name,nature_of_id,made_date,type_status,publication_id,USE_EXISTING_ACCEPTED_ID,accepted_id_fg,use_pub_authors
KNWR:Ento:11332,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11333,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11334,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11335,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11336,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11337,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11342,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11343,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11344,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11345,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11346,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11347,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11348,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11349,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11350,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11351,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11352,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11353,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11354,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11355,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11356,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11357,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11358,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11359,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11360,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
KNWR:Ento:11361,Arthropoda,features,2020-01-06,referral,10009015,0,0,1
