guid,scientific_name,nature_of_id,made_date,type_status,publication_id,USE_EXISTING_ACCEPTED_ID,accepted_id_fg,use_pub_authors
KNWRObs:Fish:12,Dallia pectoralis,features,2020-01-30,referral,10009015,0,0,1
KNWRObs:Fish:13,Dallia pectoralis,features,2020-01-30,referral,10009015,0,0,1
KNWRObs:Fish:14,Dallia pectoralis,features,2020-01-30,referral,10009015,0,0,1
KNWRObs:Fish:15,Dallia pectoralis,features,2020-01-30,referral,10009015,0,0,1
KNWRObs:Fish:16,Dallia pectoralis,features,2020-01-30,referral,10009015,0,0,1
KNWRObs:Fish:12,Dallia pectoralis,features,2020-03-19,referral,10009015,0,0,1
KNWRObs:Fish:13,Dallia pectoralis,features,2020-03-19,referral,10009015,0,0,1
KNWRObs:Fish:14,Dallia pectoralis,features,2020-03-19,referral,10009015,0,0,1
KNWRObs:Fish:15,Dallia pectoralis,features,2020-03-19,referral,10009015,0,0,1
KNWRObs:Fish:16,Dallia pectoralis,features,2020-03-19,referral,10009015,0,0,1
KNWRObs:Fish:12,Dallia pectoralis,features,2019-08-23,referral,10009014,1,0,1
KNWRObs:Fish:13,Dallia pectoralis,features,2019-08-23,referral,10009014,1,0,1
KNWRObs:Fish:14,Dallia pectoralis,features,2019-08-23,referral,10009014,1,0,1
KNWRObs:Fish:15,Dallia pectoralis,features,2019-08-23,referral,10009014,1,0,1
KNWRObs:Fish:16,Dallia pectoralis,features,2019-08-23,referral,10009014,1,0,1
